,userID,cuisine
0,134999,Japanese
1,132825,Mexican
2,135106,Mexican
3,132667,Armenian
4,132613,Mexican
5,135040,Chinese
6,132732,Mexican
7,132875,Japanese
8,132609,Fast_Food
9,135082,Chinese
10,135070,Chinese
11,135069,Bar
12,135065,Chinese
13,135076,Chinese
14,135086,Burgers
15,135086,Fast_Food
16,132870,Burgers
17,132854,International
18,132937,Bar
19,132856,Italian
20,132668,Mexican
21,135033,Chinese
22,132862,International
23,134983,Bar
24,134983,Bar_Pub_Brewery
25,132851,American
26,132851,Game
27,135013,Chinese
28,135042,Chinese
29,132768,Family
30,132561,Chinese
31,135045,Chinese
32,132847,Chinese
33,135054,Seafood
34,134975,Japanese
35,135053,Cafeteria
36,135053,Fast_Food
37,135053,Pizzeria
38,135050,Chinese
39,135025,Mexican
40,135030,Cafe-Coffee_Shop
41,135030,Cafeteria
42,135057,Bar
43,135079,Chinese
44,134992,Japanese
45,132954,Breakfast-Brunch
46,135041,Bar
47,135041,Cafeteria
48,132608,Mexican
49,135046,Fast_Food
50,132564,Japanese
51,132869,Pizzeria
52,132925,Mexican
53,132955,Bar_Pub_Brewery
54,135059,Bar
55,135001,Japanese
56,135063,Japanese
57,135080,Japanese
58,135000,Japanese
59,135066,Mexican
60,135034,Japanese
61,135060,Seafood
62,135055,Mexican
63,135108,Mexican
64,135074,Contemporary
65,135018,Mexican
66,135064,Mexican
67,135038,Mexican
68,135081,Mexican
69,132723,Mexican
70,135051,Mexican
71,135021,Fast_Food
72,135052,Bar
73,135052,Bar_Pub_Brewery
74,132845,Mexican
75,135011,Mexican
76,132858,Burgers
77,135026,Bar
78,135026,Bar_Pub_Brewery
79,132884,Mexican
80,135016,Mexican
81,135104,Mexican
82,132630,Mexican
83,135047,Mexican
84,132951,American
85,132665,Mexican
86,135044,Chinese
87,135035,Italian
88,135071,Bar
89,135071,Bar_Pub_Brewery
90,132834,Mexican
91,132846,International
92,135048,Bar
93,132717,Fast_Food
94,132861,Burgers
95,132885,Cafeteria
96,132740,Mexican
97,132830,Mexican
98,132773,Family
99,132773,Mexican
100,132706,Mexican
101,132872,American
102,134987,Mexican
103,132572,Cafeteria
104,132958,American
105,132733,Pizzeria
106,132922,Cafeteria
107,132715,Mexican
108,135027,Mexican
109,132767,Vietnamese
110,135039,Seafood
111,134996,Mexican
112,132755,Mexican
113,135043,Fast_Food
114,135043,Pizzeria
115,132654,Mexican
116,135049,Seafood
117,135073,Bar
118,135073,Bar_Pub_Brewery
119,132560,Regional
120,134976,Mexican
121,134976,Mediterranean
122,134976,Burgers
123,135075,Seafood
124,132660,Mexican
125,132921,Bar
126,132594,Mexican
127,134986,International
128,135062,Mexican
129,132766,Japanese
130,135088,Cafeteria
131,135058,Pizzeria
132,132754,Mexican
133,132584,Mexican
134,135032,Cafeteria
135,135032,Contemporary
136,135028,Mexican
137,135085,Fast_Food
138,132663,Mexican
139,132626,Italian
140,132583,American
141,132866,Bakery
142,132866,Cafeteria
143,135072,Japanese
144,135109,Italian
145,135019,Bar
146,132877,Mexican
